Training on GPU ID: 0, NVIDIA GeForce RTX 4070 Laptop GPU

=== Training with minority: All ===

--- Epoch 1 ---
Batch 001 | train: loss 0.9446  PSNR 12.29  SSIM 0.0268
Batch 7801 | train: loss 0.1061  PSNR 27.79  SSIM 0.9712
Batch 8101 | train: loss 0.1059  PSNR 27.80  SSIM 0.9712
Epoch 002 | train: loss 0.1059  PSNR 27.80  SSIM 0.9712
==Validation:==
per-race (val): East Asian: SSIM 0.973, PSNR 28.23  White: SSIM 0.972, PSNR 28.20  Latino_Hispanic: SSIM 0.973, PSNR 28.18  Southeast Asian: SSIM 0.972, PSNR 28.17  Black: SSIM 0.972, PSNR 28.24  Indian: SSIM 0.972, PSNR 28.23  Middle Eastern: SSIM 0.972, PSNR 28.22
--- Epoch 3 ---
Batch 001 | train: loss 0.0958  PSNR 27.99  SSIM 0.9690
Batch 301 | train: loss 0.1124  PSNR 27.71  SSIM 0.9714
Batch 601 | train: loss 0.1120  PSNR 27.74  SSIM 0.9717
Batch 901 | train: loss 0.1102  PSNR 27.82  SSIM 0.9719
Batch 1201 | train: loss 0.1098  PSNR 27.85  SSIM 0.9722
Batch 1501 | train: loss 0.1088  PSNR 27.90  SSIM 0.9724
Batch 1801 | train: loss 0.1081  PSNR 27.94  SSIM 0.9726
Batch 2101 | train: loss 0.1075  PSNR 27.97  SSIM 0.9728
Batch 2401 | train: loss 0.1069  PSNR 28.01  SSIM 0.9730
Batch 2701 | train: loss 0.1065  PSNR 28.03  SSIM 0.9732
Batch 3001 | train: loss 0.1062  PSNR 28.06  SSIM 0.9733
Batch 3301 | train: loss 0.1056  PSNR 28.09  SSIM 0.9735
Batch 3601 | train: loss 0.1049  PSNR 28.13  SSIM 0.9737
Batch 3901 | train: loss 0.1043  PSNR 28.16  SSIM 0.9738
Batch 4201 | train: loss 0.1038  PSNR 28.19  SSIM 0.9739
Batch 4501 | train: loss 0.1033  PSNR 28.22  SSIM 0.9741
Batch 4801 | train: loss 0.1028  PSNR 28.25  SSIM 0.9742
Batch 5101 | train: loss 0.1023  PSNR 28.28  SSIM 0.9743
Batch 5401 | train: loss 0.1017  PSNR 28.31  SSIM 0.9745
Batch 5701 | train: loss 0.1011  PSNR 28.34  SSIM 0.9746
Batch 6001 | train: loss 0.1006  PSNR 28.37  SSIM 0.9747
Batch 6301 | train: loss 0.1002  PSNR 28.39  SSIM 0.9748
